Length,Width,Height,Period-x,Period-y
400,140,400,175,175
400,160,400,175,175
400,400,400,175,175
60,60,600,175,175
60,80,600,175,175
60,100,600,175,175
60,120,600,175,175
60,140,600,175,175
60,160,600,175,175
60,400,600,175,175
80,60,600,175,175
80,80,600,175,175
80,100,600,175,175
80,120,600,175,175
80,140,600,175,175
80,160,600,175,175
80,400,600,175,175
100,60,600,175,175
100,80,600,175,175
100,100,600,175,175
100,120,600,175,175
100,140,600,175,175
100,160,600,175,175
100,400,600,175,175
120,60,600,175,175
120,80,600,175,175
120,100,600,175,175
120,120,600,175,175
120,140,600,175,175
120,160,600,175,175
120,400,600,175,175
140,60,600,175,175
140,80,600,175,175
140,100,600,175,175
140,120,600,175,175
140,140,600,175,175
140,160,600,175,175
140,400,600,175,175
160,60,600,175,175
160,80,600,175,175
160,100,600,175,175
160,120,600,175,175
160,140,600,175,175
160,160,600,175,175
160,400,600,175,175
400,60,600,175,175
400,80,600,175,175
400,100,600,175,175
400,120,600,175,175
400,140,600,175,175
400,160,600,175,175
400,400,600,175,175
60,60,400,175,200
60,80,400,175,200
60,100,400,175,200
60,120,400,175,200
60,140,400,175,200
60,160,400,175,200
60,400,400,175,200
80,60,400,175,200
80,80,400,175,200
80,100,400,175,200
80,120,400,175,200
80,140,400,175,200
80,160,400,175,200
80,400,400,175,200
100,60,400,175,200
100,80,400,175,200
100,100,400,175,200
100,120,400,175,200
100,140,400,175,200
100,160,400,175,200
100,400,400,175,200
120,60,400,175,200
120,80,400,175,200
120,100,400,175,200
120,120,400,175,200
120,140,400,175,200
120,160,400,175,200
120,400,400,175,200
140,60,400,175,200
140,80,400,175,200
140,100,400,175,200
140,120,400,175,200
140,140,400,175,200
140,160,400,175,200
140,400,400,175,200
160,60,400,175,200
160,80,400,175,200
160,100,400,175,200
160,120,400,175,200
160,140,400,175,200
160,160,400,175,200
160,400,400,175,200
180,60,400,175,200
180,80,400,175,200
180,100,400,175,200
180,120,400,175,200
180,140,400,175,200
180,160,400,175,200
180,400,400,175,200
400,60,400,175,200
400,80,400,175,200
400,100,400,175,200
400,120,400,175,200
400,140,400,175,200
400,160,400,175,200
400,400,400,175,200
60,60,600,175,200
60,80,600,175,200
60,100,600,175,200
60,120,600,175,200
60,140,600,175,200
60,160,600,175,200
60,400,600,175,200
80,60,600,175,200
80,80,600,175,200
80,100,600,175,200
80,120,600,175,200
80,140,600,175,200
80,160,600,175,200
80,400,600,175,200
100,60,600,175,200
100,80,600,175,200
100,100,600,175,200
100,120,600,175,200
100,140,600,175,200
100,160,600,175,200
100,400,600,175,200
120,60,600,175,200
120,80,600,175,200
120,100,600,175,200
120,120,600,175,200
120,140,600,175,200
120,160,600,175,200
120,400,600,175,200
140,60,600,175,200
140,80,600,175,200
140,100,600,175,200
140,120,600,175,200
140,140,600,175,200
140,160,600,175,200
140,400,600,175,200
160,60,600,175,200
160,80,600,175,200
160,100,600,175,200
160,120,600,175,200
160,140,600,175,200
160,160,600,175,200
160,400,600,175,200
180,60,600,175,200
180,80,600,175,200
180,100,600,175,200
180,120,600,175,200
180,140,600,175,200
180,160,600,175,200
180,400,600,175,200
400,60,600,175,200
400,80,600,175,200
400,100,600,175,200
400,120,600,175,200
400,140,600,175,200
400,160,600,175,200
400,400,600,175,200
60,60,400,200,150
60,80,400,200,150
60,100,400,200,150
60,120,400,200,150
60,140,400,200,150
60,160,400,200,150
60,180,400,200,150
60,400,400,200,150
80,60,400,200,150
80,80,400,200,150
80,100,400,200,150
80,120,400,200,150
80,140,400,200,150
80,160,400,200,150
80,180,400,200,150
80,400,400,200,150
100,60,400,200,150
100,80,400,200,150
100,100,400,200,150
100,120,400,200,150
100,140,400,200,150
100,160,400,200,150
100,180,400,200,150
100,400,400,200,150
120,60,400,200,150
120,80,400,200,150
120,100,400,200,150
120,120,400,200,150
120,140,400,200,150
120,160,400,200,150
120,180,400,200,150
120,400,400,200,150
130,60,400,200,150
130,80,400,200,150
130,100,400,200,150
130,120,400,200,150
130,140,400,200,150
130,160,400,200,150
130,180,400,200,150
130,400,400,200,150
400,60,400,200,150
400,80,400,200,150
400,100,400,200,150
400,120,400,200,150
400,140,400,200,150
400,160,400,200,150
400,180,400,200,150
400,400,400,200,150
60,60,600,200,150
60,80,600,200,150
60,100,600,200,150
60,120,600,200,150
60,140,600,200,150
60,160,600,200,150
60,180,600,200,150
60,400,600,200,150
80,60,600,200,150
80,80,600,200,150
80,100,600,200,150
80,120,600,200,150
80,140,600,200,150
80,160,600,200,150
80,180,600,200,150
80,400,600,200,150
100,60,600,200,150
100,80,600,200,150
100,100,600,200,150
100,120,600,200,150
100,140,600,200,150
100,160,600,200,150
100,180,600,200,150
100,400,600,200,150
120,60,600,200,150
120,80,600,200,150
120,100,600,200,150
120,120,600,200,150
120,140,600,200,150
120,160,600,200,150
120,180,600,200,150
120,400,600,200,150
130,60,600,200,150
130,80,600,200,150
130,100,600,200,150
130,120,600,200,150
130,140,600,200,150
130,160,600,200,150
130,180,600,200,150
130,400,600,200,150
400,60,600,200,150
400,80,600,200,150
400,100,600,200,150
400,120,600,200,150
400,140,600,200,150
400,160,600,200,150
400,180,600,200,150
400,400,600,200,150
60,60,400,200,175
60,80,400,200,175
60,100,400,200,175
60,120,400,200,175
60,140,400,200,175
60,160,400,200,175
60,180,400,200,175
60,400,400,200,175
80,60,400,200,175
80,80,400,200,175
80,100,400,200,175
80,120,400,200,175
80,140,400,200,175
80,160,400,200,175
80,180,400,200,175
80,400,400,200,175
100,60,400,200,175
100,80,400,200,175
100,100,400,200,175
100,120,400,200,175
100,140,400,200,175
100,160,400,200,175
100,180,400,200,175
100,400,400,200,175
120,60,400,200,175
120,80,400,200,175
120,100,400,200,175
120,120,400,200,175
120,140,400,200,175
120,160,400,200,175
120,180,400,200,175
120,400,400,200,175
140,60,400,200,175
140,80,400,200,175
140,100,400,200,175
140,120,400,200,175
140,140,400,200,175
140,160,400,200,175
140,180,400,200,175
140,400,400,200,175
160,60,400,200,175
160,80,400,200,175
160,100,400,200,175
160,120,400,200,175
160,140,400,200,175
160,160,400,200,175
160,180,400,200,175
160,400,400,200,175
400,60,400,200,175
400,80,400,200,175
400,100,400,200,175
400,120,400,200,175
400,140,400,200,175
400,160,400,200,175
400,180,400,200,175
400,400,400,200,175
60,60,600,200,175
60,80,600,200,175
60,100,600,200,175
60,120,600,200,175
60,140,600,200,175
60,160,600,200,175
60,180,600,200,175
60,400,600,200,175
80,60,600,200,175
80,80,600,200,175
80,100,600,200,175
80,120,600,200,175
80,140,600,200,175
80,160,600,200,175
80,180,600,200,175
80,400,600,200,175
100,60,600,200,175
100,80,600,200,175
100,100,600,200,175
100,120,600,200,175
100,140,600,200,175
100,160,600,200,175
100,180,600,200,175
100,400,600,200,175
120,60,600,200,175
120,80,600,200,175
120,100,600,200,175
120,120,600,200,175
120,140,600,200,175
120,160,600,200,175
120,180,600,200,175
120,400,600,200,175
140,60,600,200,175
140,80,600,200,175
140,100,600,200,175
140,120,600,200,175
140,140,600,200,175
140,160,600,200,175
140,180,600,200,175
140,400,600,200,175
160,60,600,200,175
160,80,600,200,175
160,100,600,200,175
160,120,600,200,175
160,140,600,200,175
160,160,600,200,175
160,180,600,200,175
160,400,600,200,175
400,60,600,200,175
400,80,600,200,175
400,100,600,200,175
400,120,600,200,175
400,140,600,200,175
400,160,600,200,175
400,180,600,200,175
400,400,600,200,175
60,60,400,200,200
60,80,400,200,200
60,100,400,200,200
60,120,400,200,200
60,140,400,200,200
60,160,400,200,200
60,180,400,200,200
60,400,400,200,200
80,60,400,200,200
80,80,400,200,200
80,100,400,200,200
80,120,400,200,200
80,140,400,200,200
80,160,400,200,200
80,180,400,200,200
80,400,400,200,200
100,60,400,200,200
100,80,400,200,200
100,100,400,200,200
100,120,400,200,200
100,140,400,200,200
100,160,400,200,200
100,180,400,200,200
100,400,400,200,200
120,60,400,200,200
120,80,400,200,200
120,100,400,200,200
120,120,400,200,200
120,140,400,200,200
120,160,400,200,200
120,180,400,200,200
120,400,400,200,200
140,60,400,200,200
140,80,400,200,200
140,100,400,200,200
140,120,400,200,200
140,140,400,200,200
140,160,400,200,200
140,180,400,200,200
140,400,400,200,200
160,60,400,200,200
160,80,400,200,200
160,100,400,200,200
160,120,400,200,200
160,140,400,200,200
160,160,400,200,200
160,180,400,200,200
160,400,400,200,200
180,60,400,200,200
180,80,400,200,200
180,100,400,200,200
180,120,400,200,200
180,140,400,200,200
180,160,400,200,200
180,180,400,200,200
180,400,400,200,200
400,60,400,200,200
400,80,400,200,200
400,100,400,200,200
400,120,400,200,200
400,140,400,200,200
400,160,400,200,200
400,180,400,200,200
400,400,400,200,200
60,60,600,200,200
60,80,600,200,200
60,100,600,200,200
60,120,600,200,200
60,140,600,200,200
60,160,600,200,200
60,180,600,200,200
60,400,600,200,200
80,60,600,200,200
80,80,600,200,200
80,100,600,200,200
80,120,600,200,200
80,140,600,200,200
80,160,600,200,200
80,180,600,200,200
80,400,600,200,200
100,60,600,200,200
100,80,600,200,200
100,100,600,200,200
100,120,600,200,200
100,140,600,200,200
100,160,600,200,200
100,180,600,200,200
100,400,600,200,200
120,60,600,200,200
120,80,600,200,200
120,100,600,200,200
120,120,600,200,200
120,140,600,200,200
120,160,600,200,200
120,180,600,200,200
120,400,600,200,200
140,60,600,200,200
140,80,600,200,200
140,100,600,200,200
140,120,600,200,200
140,140,600,200,200
140,160,600,200,200
140,180,600,200,200
140,400,600,200,200
160,60,600,200,200
160,80,600,200,200
160,100,600,200,200
160,120,600,200,200
160,140,600,200,200
160,160,600,200,200
160,180,600,200,200
160,400,600,200,200
180,60,600,200,200
180,80,600,200,200
180,100,600,200,200
180,120,600,200,200
180,140,600,200,200
180,160,600,200,200
180,180,600,200,200
180,400,600,200,200
400,60,600,200,200
400,80,600,200,200
400,100,600,200,200
400,120,600,200,200
400,140,600,200,200
400,160,600,200,200
400,180,600,200,200
400,400,600,200,200
60,60,400,225,225
60,80,400,225,225
60,100,400,225,225
60,120,400,225,225
60,140,400,225,225
60,160,400,225,225
60,180,400,225,225
60,200,400,225,225
60,400,400,225,225
80,60,400,225,225
80,80,400,225,225
80,100,400,225,225
80,120,400,225,225
80,140,400,225,225
80,160,400,225,225
80,180,400,225,225
80,200,400,225,225
80,400,400,225,225
100,60,400,225,225
100,80,400,225,225
100,100,400,225,225
100,120,400,225,225
100,140,400,225,225
100,160,400,225,225
100,180,400,225,225
100,200,400,225,225
100,400,400,225,225
120,60,400,225,225
120,80,400,225,225
120,100,400,225,225
120,120,400,225,225
120,140,400,225,225
120,160,400,225,225
120,180,400,225,225
120,200,400,225,225
120,400,400,225,225
140,60,400,225,225
140,80,400,225,225
140,100,400,225,225
140,120,400,225,225
140,140,400,225,225
140,160,400,225,225
140,180,400,225,225
140,200,400,225,225
140,400,400,225,225
160,60,400,225,225
160,80,400,225,225
160,100,400,225,225
160,120,400,225,225
160,140,400,225,225
160,160,400,225,225
160,180,400,225,225
160,200,400,225,225
160,400,400,225,225
180,60,400,225,225
180,80,400,225,225
180,100,400,225,225
180,120,400,225,225
180,140,400,225,225
180,160,400,225,225
180,180,400,225,225
180,200,400,225,225
180,400,400,225,225
200,60,400,225,225
200,80,400,225,225
200,100,400,225,225
200,120,400,225,225
200,140,400,225,225
200,160,400,225,225
200,180,400,225,225
200,200,400,225,225
200,400,400,225,225
400,60,400,225,225
400,80,400,225,225
400,100,400,225,225
400,120,400,225,225
400,140,400,225,225
400,160,400,225,225
400,180,400,225,225
400,200,400,225,225
400,400,400,225,225
60,60,600,225,225
60,80,600,225,225
60,100,600,225,225
60,120,600,225,225
60,140,600,225,225
60,160,600,225,225
60,180,600,225,225
60,200,600,225,225
60,400,600,225,225
80,60,600,225,225
80,80,600,225,225
80,100,600,225,225
80,120,600,225,225
80,140,600,225,225
80,160,600,225,225
80,180,600,225,225
80,200,600,225,225
80,400,600,225,225
100,60,600,225,225
100,80,600,225,225
100,100,600,225,225
100,120,600,225,225
100,140,600,225,225
100,160,600,225,225
100,180,600,225,225
100,200,600,225,225
100,400,600,225,225
120,60,600,225,225
120,80,600,225,225
120,100,600,225,225
120,120,600,225,225
120,140,600,225,225
120,160,600,225,225
120,180,600,225,225
120,200,600,225,225
120,400,600,225,225
140,60,600,225,225
140,80,600,225,225
140,100,600,225,225
140,120,600,225,225
140,140,600,225,225
140,160,600,225,225
140,180,600,225,225
140,200,600,225,225
140,400,600,225,225
160,60,600,225,225
160,80,600,225,225
160,100,600,225,225
160,120,600,225,225
160,140,600,225,225
160,160,600,225,225
160,180,600,225,225
160,200,600,225,225
160,400,600,225,225
180,60,600,225,225
180,80,600,225,225
180,100,600,225,225
180,120,600,225,225
180,140,600,225,225
180,160,600,225,225
180,180,600,225,225
180,200,600,225,225
180,400,600,225,225
200,60,600,225,225
200,80,600,225,225
200,100,600,225,225
200,120,600,225,225
200,140,600,225,225
200,160,600,225,225
200,180,600,225,225
200,200,600,225,225
200,400,600,225,225
400,60,600,225,225
400,80,600,225,225
400,100,600,225,225
400,120,600,225,225
400,140,600,225,225
400,160,600,225,225
400,180,600,225,225
400,200,600,225,225
400,400,600,225,225
60,60,400,225,250
60,80,400,225,250
60,100,400,225,250
60,120,400,225,250
60,140,400,225,250
60,160,400,225,250
60,180,400,225,250
60,200,400,225,250
60,400,400,225,250
80,60,400,225,250
80,80,400,225,250
80,100,400,225,250
80,120,400,225,250
80,140,400,225,250
80,160,400,225,250
80,180,400,225,250
80,200,400,225,250
80,400,400,225,250
100,60,400,225,250
100,80,400,225,250
100,100,400,225,250
100,120,400,225,250
100,140,400,225,250
100,160,400,225,250
100,180,400,225,250
100,200,400,225,250
100,400,400,225,250
120,60,400,225,250
120,80,400,225,250
120,100,400,225,250
120,120,400,225,250
120,140,400,225,250
120,160,400,225,250
120,180,400,225,250
120,200,400,225,250
120,400,400,225,250
140,60,400,225,250
140,80,400,225,250
140,100,400,225,250
140,120,400,225,250
140,140,400,225,250
140,160,400,225,250
140,180,400,225,250
140,200,400,225,250
140,400,400,225,250
160,60,400,225,250
160,80,400,225,250
160,100,400,225,250
160,120,400,225,250
160,140,400,225,250
160,160,400,225,250
160,180,400,225,250
160,200,400,225,250
160,400,400,225,250
180,60,400,225,250
180,80,400,225,250
180,100,400,225,250
180,120,400,225,250
180,140,400,225,250
180,160,400,225,250
180,180,400,225,250
180,200,400,225,250
180,400,400,225,250
200,60,400,225,250
200,80,400,225,250
200,100,400,225,250
200,120,400,225,250
200,140,400,225,250
200,160,400,225,250
200,180,400,225,250
200,200,400,225,250
200,400,400,225,250
220,60,400,225,250
220,80,400,225,250
220,100,400,225,250
220,120,400,225,250
220,140,400,225,250
220,160,400,225,250
220,180,400,225,250
220,200,400,225,250
220,400,400,225,250
230,60,400,225,250
230,80,400,225,250
230,100,400,225,250
230,120,400,225,250
230,140,400,225,250
230,160,400,225,250
230,180,400,225,250
230,200,400,225,250
230,400,400,225,250
400,60,400,225,250
400,80,400,225,250
400,100,400,225,250
400,120,400,225,250
400,140,400,225,250
400,160,400,225,250
400,180,400,225,250
400,200,400,225,250
400,400,400,225,250
60,60,600,225,250
60,80,600,225,250
60,100,600,225,250
60,120,600,225,250
60,140,600,225,250
60,160,600,225,250
60,180,600,225,250
60,200,600,225,250
60,400,600,225,250
80,60,600,225,250
80,80,600,225,250
80,100,600,225,250
80,120,600,225,250
80,140,600,225,250
80,160,600,225,250
80,180,600,225,250
80,200,600,225,250
80,400,600,225,250
100,60,600,225,250
100,80,600,225,250
100,100,600,225,250
100,120,600,225,250
100,140,600,225,250
100,160,600,225,250
100,180,600,225,250
100,200,600,225,250
100,400,600,225,250
120,60,600,225,250
120,80,600,225,250
120,100,600,225,250
120,120,600,225,250
120,140,600,225,250
120,160,600,225,250
120,180,600,225,250
120,200,600,225,250
120,400,600,225,250
140,60,600,225,250
140,80,600,225,250
140,100,600,225,250
140,120,600,225,250
140,140,600,225,250
140,160,600,225,250
140,180,600,225,250
140,200,600,225,250
140,400,600,225,250
160,60,600,225,250
160,80,600,225,250
160,100,600,225,250
160,120,600,225,250
160,140,600,225,250
160,160,600,225,250
160,180,600,225,250
160,200,600,225,250
160,400,600,225,250
180,60,600,225,250
180,80,600,225,250
180,100,600,225,250
180,120,600,225,250
180,140,600,225,250
180,160,600,225,250
180,180,600,225,250
180,200,600,225,250
180,400,600,225,250
200,60,600,225,250
200,80,600,225,250
200,100,600,225,250
200,120,600,225,250
200,140,600,225,250
200,160,600,225,250
200,180,600,225,250
200,200,600,225,250
200,400,600,225,250
220,60,600,225,250
220,80,600,225,250
220,100,600,225,250
220,120,600,225,250
220,140,600,225,250
220,160,600,225,250
220,180,600,225,250
220,200,600,225,250
220,400,600,225,250
230,60,600,225,250
230,80,600,225,250
230,100,600,225,250
230,120,600,225,250
230,140,600,225,250
230,160,600,225,250
230,180,600,225,250
230,200,600,225,250
230,400,600,225,250
400,60,600,225,250
400,80,600,225,250
400,100,600,225,250
400,120,600,225,250
400,140,600,225,250
400,160,600,225,250
400,180,600,225,250
400,200,600,225,250
400,400,600,225,250
60,60,400,225,275
60,80,400,225,275
60,100,400,225,275
60,120,400,225,275
60,140,400,225,275
60,160,400,225,275
60,180,400,225,275
60,200,400,225,275
60,400,400,225,275
80,60,400,225,275
80,80,400,225,275
80,100,400,225,275
80,120,400,225,275
80,140,400,225,275
80,160,400,225,275
80,180,400,225,275
80,200,400,225,275
80,400,400,225,275
100,60,400,225,275
100,80,400,225,275
100,100,400,225,275
100,120,400,225,275
100,140,400,225,275
100,160,400,225,275
100,180,400,225,275
100,200,400,225,275
100,400,400,225,275
120,60,400,225,275
120,80,400,225,275
120,100,400,225,275
120,120,400,225,275
120,140,400,225,275
120,160,400,225,275
120,180,400,225,275
120,200,400,225,275
120,400,400,225,275
140,60,400,225,275
140,80,400,225,275
140,100,400,225,275
140,120,400,225,275
140,140,400,225,275
140,160,400,225,275
140,180,400,225,275
140,200,400,225,275
140,400,400,225,275
160,60,400,225,275
160,80,400,225,275
160,100,400,225,275
160,120,400,225,275
160,140,400,225,275
160,160,400,225,275
160,180,400,225,275
160,200,400,225,275
160,400,400,225,275
180,60,400,225,275
180,80,400,225,275
180,100,400,225,275
180,120,400,225,275
180,140,400,225,275
180,160,400,225,275
180,180,400,225,275
180,200,400,225,275
180,400,400,225,275
200,60,400,225,275
200,80,400,225,275
200,100,400,225,275
200,120,400,225,275
200,140,400,225,275
200,160,400,225,275
200,180,400,225,275
200,200,400,225,275
200,400,400,225,275
220,60,400,225,275
220,80,400,225,275
220,100,400,225,275
220,120,400,225,275
220,140,400,225,275
220,160,400,225,275
220,180,400,225,275
220,200,400,225,275
220,400,400,225,275
240,60,400,225,275
240,80,400,225,275
240,100,400,225,275
240,120,400,225,275
240,140,400,225,275
240,160,400,225,275
240,180,400,225,275
240,200,400,225,275
240,400,400,225,275
250,60,400,225,275
250,80,400,225,275
250,100,400,225,275
250,120,400,225,275
250,140,400,225,275
250,160,400,225,275
250,180,400,225,275
250,200,400,225,275
250,400,400,225,275
400,60,400,225,275
400,80,400,225,275
400,100,400,225,275
400,120,400,225,275
400,140,400,225,275
400,160,400,225,275
400,180,400,225,275
400,200,400,225,275
400,400,400,225,275
60,60,600,225,275
60,80,600,225,275
60,100,600,225,275
60,120,600,225,275
60,140,600,225,275
60,160,600,225,275
60,180,600,225,275
60,200,600,225,275
60,400,600,225,275
80,60,600,225,275
80,80,600,225,275
80,100,600,225,275
80,120,600,225,275
80,140,600,225,275
80,160,600,225,275
80,180,600,225,275
80,200,600,225,275
80,400,600,225,275
100,60,600,225,275
100,80,600,225,275
100,100,600,225,275
100,120,600,225,275
100,140,600,225,275
100,160,600,225,275
100,180,600,225,275
100,200,600,225,275
100,400,600,225,275
120,60,600,225,275
120,80,600,225,275
120,100,600,225,275
120,120,600,225,275
120,140,600,225,275
120,160,600,225,275
120,180,600,225,275
120,200,600,225,275
120,400,600,225,275
140,60,600,225,275
140,80,600,225,275
140,100,600,225,275
140,120,600,225,275
140,140,600,225,275
140,160,600,225,275
140,180,600,225,275
140,200,600,225,275
140,400,600,225,275
160,60,600,225,275
